desde_tipo,desde_id,relacion,hasta_tipo,hasta_id
Pedido,1,PERTENECE_A,Restaurante,25
Pedido,2,PERTENECE_A,Restaurante,24
Pedido,3,PERTENECE_A,Restaurante,12
Pedido,4,PERTENECE_A,Restaurante,29
Pedido,5,PERTENECE_A,Restaurante,3
Pedido,6,PERTENECE_A,Restaurante,17
Pedido,7,PERTENECE_A,Restaurante,29
Pedido,8,PERTENECE_A,Restaurante,30
Pedido,9,PERTENECE_A,Restaurante,17
Pedido,10,PERTENECE_A,Restaurante,15
Pedido,11,PERTENECE_A,Restaurante,18
Pedido,12,PERTENECE_A,Restaurante,37
Pedido,13,PERTENECE_A,Restaurante,4
Pedido,14,PERTENECE_A,Restaurante,10
Pedido,15,PERTENECE_A,Restaurante,49
Pedido,16,PERTENECE_A,Restaurante,45
Pedido,17,PERTENECE_A,Restaurante,43
Pedido,18,PERTENECE_A,Restaurante,7
Pedido,19,PERTENECE_A,Restaurante,6
Pedido,20,PERTENECE_A,Restaurante,43
Pedido,21,PERTENECE_A,Restaurante,23
Pedido,22,PERTENECE_A,Restaurante,35
Pedido,23,PERTENECE_A,Restaurante,27
Pedido,24,PERTENECE_A,Restaurante,49
Pedido,25,PERTENECE_A,Restaurante,38
Pedido,26,PERTENECE_A,Restaurante,15
Pedido,27,PERTENECE_A,Restaurante,36
Pedido,28,PERTENECE_A,Restaurante,4
Pedido,29,PERTENECE_A,Restaurante,25
Pedido,30,PERTENECE_A,Restaurante,34
Pedido,31,PERTENECE_A,Restaurante,27
Pedido,32,PERTENECE_A,Restaurante,35
Pedido,33,PERTENECE_A,Restaurante,44
Pedido,34,PERTENECE_A,Restaurante,31
Pedido,35,PERTENECE_A,Restaurante,37
Pedido,36,PERTENECE_A,Restaurante,16
Pedido,37,PERTENECE_A,Restaurante,31
Pedido,38,PERTENECE_A,Restaurante,20
Pedido,39,PERTENECE_A,Restaurante,6
Pedido,40,PERTENECE_A,Restaurante,26
Pedido,41,PERTENECE_A,Restaurante,46
Pedido,42,PERTENECE_A,Restaurante,3
Pedido,43,PERTENECE_A,Restaurante,33
Pedido,44,PERTENECE_A,Restaurante,37
Pedido,45,PERTENECE_A,Restaurante,34
Pedido,46,PERTENECE_A,Restaurante,37
Pedido,47,PERTENECE_A,Restaurante,44
Pedido,48,PERTENECE_A,Restaurante,40
Pedido,49,PERTENECE_A,Restaurante,10
Pedido,50,PERTENECE_A,Restaurante,8
Pedido,51,PERTENECE_A,Restaurante,49
Pedido,52,PERTENECE_A,Restaurante,29
Pedido,53,PERTENECE_A,Restaurante,12
Pedido,54,PERTENECE_A,Restaurante,11
Pedido,55,PERTENECE_A,Restaurante,14
Pedido,56,PERTENECE_A,Restaurante,13
Pedido,57,PERTENECE_A,Restaurante,9
Pedido,58,PERTENECE_A,Restaurante,3
Pedido,59,PERTENECE_A,Restaurante,28
Pedido,60,PERTENECE_A,Restaurante,6
Pedido,61,PERTENECE_A,Restaurante,44
Pedido,62,PERTENECE_A,Restaurante,28
Pedido,63,PERTENECE_A,Restaurante,13
Pedido,64,PERTENECE_A,Restaurante,41
Pedido,65,PERTENECE_A,Restaurante,10
Pedido,66,PERTENECE_A,Restaurante,39
Pedido,67,PERTENECE_A,Restaurante,17
Pedido,68,PERTENECE_A,Restaurante,21
Pedido,69,PERTENECE_A,Restaurante,47
Pedido,70,PERTENECE_A,Restaurante,5
Pedido,71,PERTENECE_A,Restaurante,6
Pedido,72,PERTENECE_A,Restaurante,25
Pedido,73,PERTENECE_A,Restaurante,36
Pedido,74,PERTENECE_A,Restaurante,26
Pedido,75,PERTENECE_A,Restaurante,36
Pedido,76,PERTENECE_A,Restaurante,21
Pedido,77,PERTENECE_A,Restaurante,18
Pedido,78,PERTENECE_A,Restaurante,34
Pedido,79,PERTENECE_A,Restaurante,30
Pedido,80,PERTENECE_A,Restaurante,1
Pedido,81,PERTENECE_A,Restaurante,45
Pedido,82,PERTENECE_A,Restaurante,40
Pedido,83,PERTENECE_A,Restaurante,38
Pedido,84,PERTENECE_A,Restaurante,34
Pedido,85,PERTENECE_A,Restaurante,27
Pedido,86,PERTENECE_A,Restaurante,8
Pedido,87,PERTENECE_A,Restaurante,27
Pedido,88,PERTENECE_A,Restaurante,10
